_id,STATION,SITE_CODE,STNAME,WELL_NAME,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVDATUM,ELEVACC,COUNTY_NAME,BASIN_CODE,BASIN_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO,WDL,COMMENT
11,01S04E28P003M,378105N1215422W001,Old River at Tracy Barrier well 4 screen 10-20 ft bgs,OLNO-4,37.810500000,-121.542194440,NAD83,"Survey, 1m",16.900,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,20.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S04E28P003M,"01S04E28P003M is part of a well cluster.  Other wells in the cluster are 01S04E28P001,2,4M."
12,01S04E28P004M,378097N1215428W001,Old River at Tracy Barrier well 3 screen 10-20 ft bgs,OLNO-3,37.809694440,-121.542777780,NAD83,"Survey, 1m",14.100,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,20.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S04E28P004M,"01S04E28P004M is part of a well cluster.  Other wells in the cluster are 01S04E28P001,2,3M."
13,01S04E32K500M,377983N1215529W001,Byron-Bethany ID GSA MW-202 shallow screen 100-110 ft b,MW-202A,37.798379070,-121.552957100,NAD83,"Survey, 1m",38.380,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,120.00000,Observation,Part of a nested/multi-completion well,WCR2024-012391,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S04E32K500M,"TSS Site, Part of multi-completion"
14,01S04E32K501M,377983N1215529W002,Byron-Bethany ID GSA MW-202 mid-shallow screen 255-265,MW-202B,37.798380150,-121.552957000,NAD83,"Survey, 1m",38.380,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,275.00000,Observation,Part of a nested/multi-completion well,WCR2024-012391,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S04E32K501M,"TSS Site, Part of multi-completion"
15,01S04E32K502M,377983N1215529W003,Byron-Bethany ID GSA MW-202 mid-deep screen 405-415 ft,MW-202C,37.798379040,-121.552958500,NAD83,"Survey, 1m",38.380,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,425.00000,Observation,Part of a nested/multi-completion well,WCR2024-012391,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S04E32K502M,"TSS Site, Part of multi-completion"
16,01S04E32K503M,377983N1215529W004,Byron-Bethany ID GSA MW-202 deep screen 815-825 ft bgs,MW-202D,37.798380830,-121.552958300,NAD83,"Survey, 1m",38.380,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,835.00000,Observation,Part of a nested/multi-completion well,WCR2024-012391,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S04E32K503M,"TSS Site, Part of multi-completion"
17,01S06E09E001M,378600N1213200W001,Upper Roberts Island Well 3A screen 12-17 ft bgs,UR-3A,37.862517310,-121.321028750,NAD83,"GPS, 10m",8.930,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,17.00000,Observation,Single Well,E068067,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S06E09E001M,01S06E09E001M is part of a well cluster.  The other well in the cluster is 01S06E09E002M.
18,01S06E09E002M,378000N1213200W004,Upper Roberts Island Well 3B screen 15-20 ft bgs,UR-3B,37.862511890,-121.321589370,NAD83,"GPS, 10m",6.510,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,20.00000,Observation,Single Well,E068069,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S06E09E002M,01S06E09E002M is part of a well cluster.  The other well in the cluster is 01S06E09E001M.
19,01S06E16D002M,378500N1213200W001,Upper Roberts Island Well 2A screen 12-17 ft bgs,UR-2A,37.851373250,-121.323656590,NAD83,"GPS, 10m",11.670,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,20.00000,Observation,Single Well,E068065,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S06E16D002M,01S06E16D002M is part of a well cluster.  The other well in the cluster is 01S06E16D003M.
20,01S06E16D003M,378500N1213200W002,Upper Roberts Island Well 2B screen 14-19 ft bgs,UR-2B,37.851224540,-121.324648000,NAD83,"GPS, 10m",11.250,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,21.00000,Observation,Single Well,E068066,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S06E16D003M,01S06E16D003M is part of a well cluster.  The other well in the cluster is 01S06E16D002M.
21,01S06E29R001M,378000N1213200W001,Upper Roberts Island Well 1A screen 23-28 ft bgs,UR-1A,37.811101360,-121.325647330,NAD83,"GPS, 10m",15.383,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,28.00000,Observation,Single Well,E068067,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S06E29R001M,"01S06E29R001M is part of a well cluster.  Other wells in the cluster are 01S06E29R002,3M."
22,01S06E29R002M,378000N1213200W002,Upper Roberts Island Well 1B screen 20-25 ft bgs,UR-1B,37.812608560,-121.325661300,NAD83,"GPS, 10m",15.363,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,25.00000,Observation,Single Well,E068068,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S06E29R002M,"01S06E29R002M is part of a well cluster.  Other wells in the cluster are 01S06E29R001,3M."
23,01S06E29R003M,378000N1213200W003,Upper Roberts Island Well 1C screen 35-40 ft bgs,UR-1C,37.813068240,-121.325795170,NAD83,"GPS, 10m",15.333,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,40.00000,Observation,Single Well,E068064,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S06E29R003M,"01S06E29R003M is part of a well cluster.  Other wells in the cluster are 01S06E29R001,2M."
24,02N02W03C001H,405885N1242839W006,HUM_03C001H screen interval 240 to 250 ft bgs,MW-7d,40.588590000,-124.283990000,WGS84,Unknown,19.700,NAVD88,Unknown,Humboldt,1-010,Eel River Valley,250.00000,Observation,Part of a nested/multi-completion well,WCR2017-001127,https://wdl.water.ca.gov/StationDetails.aspx?Station=02N02W03C001H,
25,02N08E33F500M,379794N1211083W004,Stockton East WD deep screen 1160-1200 ft bgs,SEWD-01e,37.979373800,-121.108272000,NAD83,"Survey, 1m",77.760,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,1210.00000,Observation,Part of a nested/multi-completion well,WCR2022-000288,https://wdl.water.ca.gov/StationDetails.aspx?Station=02N08E33F500M,"TSS Site, Part of multi-completion"
26,02N08E33F501M,379794N1211083W005,Stockton East WD middle-deep screen 840-900 ft bgs,SEWD-01d,37.979373300,-121.108273100,NAD83,"Survey, 1m",77.260,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,910.00000,Observation,Part of a nested/multi-completion well,WCR2022-000288,https://wdl.water.ca.gov/StationDetails.aspx?Station=02N08E33F501M,"TSS Site, Part of multi-completion"
27,02N08E33F502M,379794N1211083W001,Stockton East WD middle screen 550-580 ft bgs,SEWD-01c,37.979448800,-121.108302600,NAD83,"Survey, 1m",77.920,,Unknown,San Joaquin,5-022.01,Eastern San Joaquin,590.00000,Observation,Part of a nested/multi-completion well,WCR2022-000365,https://wdl.water.ca.gov/StationDetails.aspx?Station=02N08E33F502M,"TSS Site, Part of multi-completion"
28,02N08E33F503M,379794N1211083W002,Stockton East WD middle-shallow screen 325-405 ft bgs,SEWD-01b,37.979448600,-121.108303600,NAD83,"Survey, 1m",77.920,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,415.00000,Observation,Part of a nested/multi-completion well,WCR2022-000365,https://wdl.water.ca.gov/StationDetails.aspx?Station=02N08E33F503M,"TSS Site, Part of multi-completion"
29,02N08E33F504M,379794N1211083W003,Stockton East WD shallow screen 145-165 ft bgs,SEWD-01a,37.979448000,-121.108303000,NAD83,"Survey, 1m",77.920,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,175.00000,Observation,Part of a nested/multi-completion well,WCR2022-000365,https://wdl.water.ca.gov/StationDetails.aspx?Station=02N08E33F504M,"TSS Site, Part of multi-completion"
30,02S04E03R500M,377805N1215170W001,Byron-Bethany ID GSA MW-201 shallow screen 250-260 ft b,MW-201A,37.780580250,-121.517007100,NAD83,"Survey, 1m",20.800,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,270.00000,Observation,Part of a nested/multi-completion well,WCR2024-009409,https://wdl.water.ca.gov/StationDetails.aspx?Station=02S04E03R500M,"TSS Site, Part of multi-completion"
31,02S04E03R501M,377805N1215170W002,Byron-Bethany ID GSA MW-201 mid-shallow screen 495-505,MW-201B,37.780581260,-121.517007600,NAD83,"Survey, 1m",20.800,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,515.00000,Observation,Part of a nested/multi-completion well,WCR2024-009409,https://wdl.water.ca.gov/StationDetails.aspx?Station=02S04E03R501M,"TSS Site, Part of multi-completion"
32,02S04E03R502M,377805N1215170W003,Byron-Bethany ID GSA MW-201 mid-deep screen 605-615 ft,MW-201C,37.780580960,-121.517004500,NAD83,"Survey, 1m",20.800,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,625.00000,Observation,Part of a nested/multi-completion well,WCR2024-009409,https://wdl.water.ca.gov/StationDetails.aspx?Station=02S04E03R502M,"TSS Site, Part of multi-completion"
33,02S04E03R503M,377805N1215170W004,Byron-Bethany ID GSA MW-201 deep screen 690-710 ft bgs,MW-201D,37.780582240,-121.517005100,NAD83,"Survey, 1m",20.800,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,720.00000,Observation,Part of a nested/multi-completion well,WCR2024-009409,https://wdl.water.ca.gov/StationDetails.aspx?Station=02S04E03R503M,"TSS Site, Part of multi-completion"
34,02S05E23N500M,377424N1213971W001,City of Tracy GSA MW-101 shallow screen 50-60 ft bgs,MW-101A,37.742443100,-121.397115100,NAD83,"Survey, 1m",45.800,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,65.00000,Observation,Part of a nested/multi-completion well,WCR2024-009376,https://wdl.water.ca.gov/StationDetails.aspx?Station=02S05E23N500M,"TSS Site, Part of multi-completion"
35,02S05E23N501M,377424N1213971W002,City of Tracy GSA MW-101 deep screen 260-270 ft bgs,MW-101B,37.742442680,-121.397114100,NAD83,"Survey, 1m",45.800,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,275.00000,Observation,Part of a nested/multi-completion well,WCR2024-009376,https://wdl.water.ca.gov/StationDetails.aspx?Station=02S05E23N501M,"TSS Site, Part of multi-completion"
36,03N02W35P001H,405944N1242670W001,HUM_35P001H screen interval 35 to 45 ft bgs,MW-28,40.594400000,-124.267020000,WGS84,Unknown,17.000,NAVD88,Unknown,Humboldt,1-010,Eel River Valley,50.00000,Observation,Single Well,WCR2021-008816,https://wdl.water.ca.gov/StationDetails.aspx?Station=03N02W35P001H,
37,03N04E11L001M,381204N1215094W001,Delta Island Consumptive Use-Staten Island-ND69-25ft,ND69,38.120444444,-121.509416660,NAD83,"GPS, 10m",-4.480,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,25.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=03N04E11L001M,"Elevation data taken from CASGEM, well depth approx 25ft"
38,03S05E24J500M,376579N1213652W001,Banta-Carbona ID GSA MW-203 shallow screen 170-180 ft b,MW-203A,37.657946790,-121.365285800,NAD83,"Survey, 1m",130.600,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,190.00000,Observation,Part of a nested/multi-completion well,WCR2024-004212,https://wdl.water.ca.gov/StationDetails.aspx?Station=03S05E24J500M,"TSS Site, Part of multi-completion"
39,03S05E24J501M,376579N1213652W002,Banta-Carbona ID GSA MW-203 mid-shallow screen 470-480,MW-203B,37.657944890,-121.365285600,NAD83,"Survey, 1m",130.600,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,490.00000,Observation,Part of a nested/multi-completion well,WCR2024-004212,https://wdl.water.ca.gov/StationDetails.aspx?Station=03S05E24J501M,"TSS Site, Part of multi-completion"
40,03S05E24J502M,376579N1213652W003,Banta-Carbona ID GSA MW-203 mid-deep screen 710-720 ft,MW-203C,37.657945640,-121.365289200,NAD83,"Survey, 1m",130.600,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,730.00000,Observation,Part of a nested/multi-completion well,WCR2024-004212,https://wdl.water.ca.gov/StationDetails.aspx?Station=03S05E24J502M,"TSS Site, Part of multi-completion"
41,03S05E24J503M,376579N1213652W004,Banta-Carbona ID GSA MW-203 deep screen 1040-1050 ft bg,MW-203D,37.657945750,-121.365285500,NAD83,"Survey, 1m",130.600,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,1060.00000,Observation,Part of a nested/multi-completion well,WCR2024-004212,https://wdl.water.ca.gov/StationDetails.aspx?Station=03S05E24J503M,"TSS Site, Part of multi-completion"
42,03S06E29P500M,376382N1213347W001,Banta-Carbona ID GSA MW-204 shallow screen 205-215 ft b,MW-204A,37.638264250,-121.334743500,NAD83,"Survey, 1m",170.340,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,225.00000,Observation,Part of a nested/multi-completion well,WCR2024-004218,https://wdl.water.ca.gov/StationDetails.aspx?Station=03S06E29P500M,"TSS Site, Part of multi-completion"
43,03S06E29P501M,376382N1213347W002,Banta-Carbona ID GSA MW-204 mid-shallow screen 490-500,MW-204B,37.638264423,-121.334746600,NAD83,"Survey, 1m",170.340,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,510.00000,Observation,Part of a nested/multi-completion well,WCR2024-004218,https://wdl.water.ca.gov/StationDetails.aspx?Station=03S06E29P501M,"TSS Site, Part of multi-completion"
44,03S06E29P502M,376382N1213347W003,Banta-Carbona ID GSA MW-204 mid-deep screen 790-800 ft,MW-204C,37.638262310,-121.334743400,NAD83,"Survey, 1m",170.340,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,810.00000,Observation,Part of a nested/multi-completion well,WCR2024-004218,https://wdl.water.ca.gov/StationDetails.aspx?Station=03S06E29P502M,"TSS Site, Part of multi-completion"
45,03S06E29P503M,376382N1213347W004,Banta-Carbona ID GSA MW-204 deep screen 905-915 ft bgs,MW-204D,37.638262160,-121.334745900,NAD83,"Survey, 1m",170.340,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,925.00000,Observation,Part of a nested/multi-completion well,WCR2024-004218,https://wdl.water.ca.gov/StationDetails.aspx?Station=03S06E29P503M,"TSS Site, Part of multi-completion"
46,03S12E32P001M,376273N1206771W003,ETTSS-01 Lower,ETTSS-01 Lower,36.735293050,-120.278265400,NAD83,"Survey, 1m",190.137,NAVD88,R.L. AT SURFACE,Merced,5-022.03,Turlock,300.00000,Observation,Part of a nested/multi-completion well,WCR2024-006935,https://wdl.water.ca.gov/StationDetails.aspx?Station=03S12E32P001M,
47,03S12E32P002M,376273N1206771W002,ETTSS-01 Middle,ETTSS-01 Middle,36.735293050,-120.278265400,NAD83,"Survey, 1m",190.137,NAVD88,R.L. AT SURFACE,Merced,5-022.03,Turlock,220.00000,Observation,Part of a nested/multi-completion well,WCR2024-006935,https://wdl.water.ca.gov/StationDetails.aspx?Station=03S12E32P002M,
48,04N04E01N001M,382000N1214812W001,Delta Island Consumptive Use_New Hope Tract_ ND21B_35ft,ND-21B,38.219750000,-121.497500000,WGS84,"GPS, 10m",0.000,NAVD88,Unknown,San Joaquin,5-022.01,Eastern San Joaquin,35.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E01N001M,Elevation and Depth from CASGEM
49,04N04E02B001M,382328N1215070W001,Delta Island Consumptive Use-Walnut Grove-ND34-20ft,ND34,38.232889000,-121.507028000,WGS84,"GPS, 10m",9.630,NAVD88,Unknown,Sacramento,5-021.66,Solano,20.00000,Observation,Single Well,WCR1992-008386,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E02B001M,Elevation from CASGEM
50,04N04E10Q001M,382044N1215280W001,Delta Island Consumptive Use-Tyler Island-ND39MA-20ff,ND39MA,38.204416670,-121.528055600,NAD83,"GPS, 10m",-3.370,NAVD88,R.L. AT SURFACE,Sacramento,5-021.66,Solano,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E10Q001M,"Elevation data taken from CASGEM. Well depth appox 20ft
Elevation came from CASGEM.  Well depth approx. 100ft"
51,04N04E10Q002M,382044N1215280W002,Delta Island Consumptive Use-Tyler Island-ND39MB-100ff,ND39MB,38.204416670,-121.528055600,NAD83,"GPS, 10m",-3.370,NAVD88,R.L. AT SURFACE,Sacramento,5-021.66,Solano,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E10Q002M,"Elevation data taken from CASGEM. Well depth appox 100ft
Elevation came from CASGEM.  Well depth approx. 100ft"
52,04N04E12M001M,382108N1215020W001,Delta Island Consumptive Use-Staten Island-ND38MA-20ft,ND38MA,38.210888900,-121.502055600,NAD83,"GPS, 10m",-2.580,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E12M001M,"Elevation data taken from CASGEM. Well depth appox 20ft
Elevation came from CASGEM.  Well depth approx. 20ft"
53,04N04E12M002M,382108N1215020W002,Delta Island Consumptive Use-Staten Island-ND38MB-100ft,ND38MB,38.210888900,-121.502055600,NAD83,"GPS, 10m",-2.580,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E12M002M,Elevation data taken from CASGEM. Well depth appox 100ft
54,04N04E13A001M,382047N1214809W001,Delta Island Consumptive Use-Staten Island-ND23MA-20ft,ND23MA,38.204694440,-121.480888900,NAD83,"GPS, 10m",3.520,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E13A001M,"Elevation data taken from CASGEM. Well depth appox 20ft
Elevation came from CASGEM.  Well depth approx. 20ft"
55,04N04E13A002M,382047N1214809W002,Delta Island Consumptive Use-Staten Island-ND23MB-100ff,ND23MB,38.204694440,-121.480888900,NAD83,"GPS, 10m",3.520,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E13A002M,"Elevation data taken from CASGEM. Well depth appox 100ft
Elevation came from CASGEM.  Well depth approx. 100ft"
56,04N04E27F001M,381688N1215288W001,Delta Island Consumptive Use-Staten Island-ND45 25ft,ND45,38.168804560,-121.528708700,NAD83,"GPS, 10m",3.520,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,25.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E27F001M,"Elevation data taken from CASGEM. Well depth appox 25ft
Elevation came from CASGEM.  Well depth approx. 100ft
Elevation from CASGEM.  Well depth approx. 20ft"
57,04N04E34N001M,381482N1215360W001,Delta Island Consumptive Use-Staten Island-ND48MA 20ft,ND48MA,38.148250000,-121.536083330,NAD83,"GPS, 10m",-7.380,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E34N001M,"Elevation data taken from CASGEM. Well depth appox 20ft
Elevation came from CASGEM.  Well depth approx. 100ft
Elevation from CASGEM.  Well depth approx. 20ft"
58,04N04E34N002M,381482N1215360W002,Delta Island Consumptive Use-Staten Island-ND48MB-100ff,ND48MB,38.148250000,-121.536083330,NAD83,"GPS, 10m",-7.380,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E34N002M,"Elevation data taken from CASGEM. Well depth appox 20ft
Elevation came from CASGEM.  Well depth approx. 100ft"
59,04N05E07N002M,382063N1214794W001,Delta Island Consumptive Use-New Hope Tract-ND22-20ft,ND-22,38.206250000,-121.479360000,WGS84,"GPS, 10m",3.520,NAVD88,Unknown,San Joaquin,5-022.01,Eastern San Joaquin,20.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N05E07N002M,Elevation and details taken from CASGEM
60,04S05E08N001S,338304N1164896W001,DWA G6,DWA G6,33.830471150,-116.489673900,NAD83,"Survey, 1m",413.500,NAVD88,R.L. AT W.L.M.PT.,Riverside,7-021.01,Indio,405.00000,Observation,Single Well,WCR2024-006746,https://wdl.water.ca.gov/StationDetails.aspx?Station=04S05E08N001S,
61,05N03E09L001M,382902N1216473W001,Prospect Island Well 5A screen 27.9-37.9 ft bgs,PI-5A,38.290206040,-121.647330860,NAD83,"Survey, 1m",17.610,,R.L. AT SURFACE,Solano,5-021.66,Solano,43.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E09L001M,05N03E09L001M is part of a well cluster.  Other well in the cluster is 05N03E09L002M.
62,05N03E09L002M,382902N1216474W001,Prospect Island Well 5B screen 67.5-77.5 ft bgs,PI-5B,38.290197630,-121.647362770,NAD83,"Survey, 1m",17.970,,R.L. AT SURFACE,Solano,5-021.66,Solano,82.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E09L002M,05N03E09L002M is part of a well cluster.  Other well in the cluster is 05N03E09L001M.
63,05N03E15F001M,382797N1216324W001,Ryer Island (RD 501) Well 99-7 screen 33-38 ft bgs,Ryer MW-7,38.279650870,-121.632368350,NAD83,"Survey, 1m",-1.760,,R.L. AT SURFACE,Solano,5-021.66,Solano,40.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E15F001M,05N03E15F001M is part of a well cluster.  Other well in the cluster is 05N03E15F002M.
64,05N03E15F002M,382796N1216324W001,Ryer Island (RD 501) Well 99-8 screen 9-14 ft bgs,Ryer MW-8,38.279648210,-121.632387790,NAD83,"Survey, 1m",-1.620,,R.L. AT SURFACE,Solano,5-021.66,Solano,15.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E15F002M,05N03E15F002M is part of a well cluster.  Other well in the cluster is 05N03E15F001M.
65,05N03E15P001M,382728N1216299W001,Ryer Island (RD 501) Well 99-5 screen 33-38 ft bgs,Ryer MW-5,38.272800570,-121.629857740,NAD83,"Survey, 1m",-2.910,,R.L. AT SURFACE,Solano,5-021.66,Solano,40.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E15P001M,05N03E15P001M is part of a well cluster.  Other well in the cluster is 05N03E15P002M.
